تاریخ,اذان صبح,اذان ظهر,اذان مغرب
1401/1/1,04:44:55 AM,12:10:31 PM,06:32:46 PM
1401/1/2,05:43:31 AM,01:10:13 PM,07:33:30 PM
1401/1/3,05:42:07 AM,01:09:55 PM,07:34:13 PM
1401/1/4,05:40:43 AM,01:09:37 PM,07:34:56 PM
1401/1/5,05:39:18 AM,01:09:19 PM,07:35:39 PM
1401/1/6,05:37:53 AM,01:09:01 PM,07:36:22 PM
1401/1/7,05:36:28 AM,01:08:43 PM,07:37:05 PM
1401/1/8,05:35:02 AM,01:08:25 PM,07:37:48 PM
1401/1/9,05:33:37 AM,01:08:07 PM,07:38:32 PM
1401/1/10,05:32:11 AM,01:07:49 PM,07:39:15 PM
1401/1/11,05:30:45 AM,01:07:31 PM,07:39:58 PM
1401/1/12,05:29:18 AM,01:07:13 PM,07:40:41 PM
1401/1/13,05:27:52 AM,01:06:55 PM,07:41:24 PM
1401/1/14,05:26:25 AM,01:06:37 PM,07:42:08 PM
1401/1/15,05:24:59 AM,01:06:20 PM,07:42:51 PM
1401/1/16,05:23:32 AM,01:06:03 PM,07:43:35 PM
1401/1/17,05:22:06 AM,01:05:46 PM,07:44:18 PM
1401/1/18,05:20:39 AM,01:05:29 PM,07:45:02 PM
1401/1/19,05:19:13 AM,01:05:12 PM,07:45:46 PM
1401/1/20,05:17:46 AM,01:04:56 PM,07:46:30 PM
1401/1/21,05:16:20 AM,01:04:39 PM,07:47:14 PM
1401/1/22,05:14:54 AM,01:04:23 PM,07:47:58 PM
1401/1/23,05:13:28 AM,01:04:08 PM,07:48:42 PM
1401/1/24,05:12:02 AM,01:03:53 PM,07:49:26 PM
1401/1/25,05:10:37 AM,01:03:38 PM,07:50:11 PM
1401/1/26,05:09:11 AM,01:03:23 PM,07:50:56 PM
1401/1/27,05:07:47 AM,01:03:09 PM,07:51:40 PM
1401/1/28,05:06:22 AM,01:02:55 PM,07:52:25 PM
1401/1/29,05:04:58 AM,01:02:41 PM,07:53:10 PM
1401/1/30,05:03:34 AM,01:02:28 PM,07:53:55 PM
1401/1/31,05:02:11 AM,01:02:15 PM,07:54:41 PM
